Actor_ID,Actor_name
A000001,50 Cent
A000002,Aaron Dismuke
A000003,Aaron Eckhart
A000004,Aaron Murphy
A000005,Aasif Mandvi
A000006,Abdellatif Kechiche
A000007,Abhishek Bachchan
A000008,Adam Brody
A000009,Adam Hicks
A000010,Adam Pascal
A000011,Adam Sandler
A000012,Addison Timlin
A000013,Adewale Akinnuoye-Agbaje
A000014,Adi Schnall
A000015,Adrian Alonso
A000016,Adrian Young
A000017,Adrien Brody
A000018,Agnes Bruckner
A000019,Ahmad Razvi
A000020,Aimee Garcia
A000021,Aishwarya Rai Bachchan
A000022,Ajay Devgn
A000023,Akshay Kumar
A000024,Al Pacino
A000025,Alan Cumming
A000026,Alan Tudyk
A000027,Alastair Mackenzie
A000028,Albert Brooks
A000029,Alberto Reyes
A000030,Alec Baldwin
A000031,Aleisha Allen
A000032,Aleksey Chadov
A000033,Alessandro Gassman
A000034,Alessandro Nivola
A000035,Alessio Boni
A000036,Alex Borstein
A000037,Alex Kiester
A000038,Alex Michaeletos
A000039,Alex O'Loughlin
A000040,Alex Reid
A000041,Alexander Armstrong
A000042,Alexander Held
A000043,Alexandra Adi
A000044,Alexis Bledel
A000045,Alfre Woodard
A000046,Alfredo Armenteros
A000047,Ali Reza
A000048,Alice Braga
A000049,Alice Greczyn
A000050,Alice Taglioni
A000051,Alicia Silverstone
A000052,Alicia Van Couvering
A000053,Alina Berzunteanu
A000054,Alison Lohman
A000055,Alistair Freeland
A000056,Allie Mickelson
A000057,Amanda Bynes
A000058,Amanda Peet
A000059,Amber Tamblyn
A000060,Amber Valletta
A000061,America Ferrera
A000062,Amitabh Bachchan
A000063,Amr Waked
A000064,Amy Adams
A000065,Amy Birnbaum
A000066,Amy Sedaris
A000067,Amy Smart
A000068,Amy Stewart
A000069,Anapola Mushkadiz
A000070,Andie MacDowell
A000071,Andrea James
A000072,Andrew Bujalski
A000073,Andrew Keegan
A000074,Andrew Lawrence Henderson
A000075,André Benjamin
A000076,André Hennicke
A000077,Angela Finocchiaro
A000078,Angelina Jolie
A000079,Angus Barnett
A000080,Anita Briem
A000081,Ankur Khanna
A000082,Ann Bell
A000083,Anna Bache-Wiig
A000084,Anna Chancellor
A000085,Anna Faris
A000086,Anna Geislerová
A000087,Anna Popplewell
A000088,Anna Rust
A000089,AnnaSophia Robb
A000090,Anne Hathaway
A000091,Annie Girardot
A000092,Anouska Bolton Lee
A000093,Anson Mount
